student_id,attendance_pct,internal_marks_avg,prev_semester_pct,cgpa,backlogs,assignment_submission_rate,lms_login_freq_per_week,library_visits_per_month,extracurricular_participation,family_income_monthly,first_generation_learner,distance_from_college_km,scholarship_status,fee_due,fee_delay_days,gender,category,hostel_or_dayscholar,dropout
STU1000,85.5,47.8,48.2,4.82,1,92.7,4,2,0,18769.0,1,19.0,0,0,0,Male,SC,Day Scholar,0
STU1001,75.9,57.4,61.5,6.15,1,85.3,5,5,0,20846.0,1,4.5,0,0,0,Male,General,Hostel,1
STU1002,87.7,45.7,62.3,6.23,2,84.2,7,4,1,38573.0,0,7.8,0,0,0,Male,ST,Hostel,0
STU1003,100.0,54.5,69.6,6.96,1,92.8,5,5,0,16026.0,1,26.7,1,0,0,Male,General,Hostel,0
STU1004,74.5,25.9,40.1,4.01,3,75.3,9,4,0,14109.0,0,19.7,1,0,0,Male,SC,Day Scholar,1
STU1005,74.5,63.8,71.5,7.15,1,87.4,5,2,0,7921.0,1,18.3,0,0,0,Male,General,Hostel,0
STU1006,100.0,60.0,18.7,1.87,2,65.7,6,4,1,25045.0,0,2.1,0,1,47,Male,General,Day Scholar,1
STU1007,89.5,45.3,51.9,5.19,3,92.0,9,5,1,134447.0,0,0.6,0,1,45,Female,SC,Hostel,0
STU1008,71.0,71.9,54.2,5.42,1,79.4,3,0,0,15779.0,0,11.2,0,1,39,Male,ST,Day Scholar,1
STU1009,86.1,76.9,72.1,7.21,2,47.5,10,5,1,23651.0,1,6.3,0,0,0,Female,SC,Day Scholar,0
STU1010,71.0,31.1,62.4,6.24,0,95.7,7,4,0,12982.0,0,28.8,1,0,0,Male,General,Hostel,0
STU1011,71.0,46.3,39.5,3.95,1,72.4,6,5,0,8360.0,1,5.2,0,0,0,Male,General,Hostel,0
STU1012,81.6,46.2,46.2,4.62,0,69.6,5,2,1,23401.0,0,6.3,0,0,0,Male,General,Hostel,1
STU1013,49.3,43.1,65.2,6.52,0,66.1,5,5,0,18341.0,0,9.0,0,0,0,Male,SC,Day Scholar,0
STU1014,52.1,74.9,60.7,6.07,1,67.6,9,4,0,5000.0,0,19.1,1,0,0,Male,General,Hostel,1
STU1015,69.6,56.5,52.7,5.27,1,79.6,7,1,1,47383.0,0,3.7,0,0,0,Male,ST,Day Scholar,0
STU1016,62.8,55.2,54.3,5.43,0,55.2,7,4,0,23146.0,0,34.1,1,0,0,Male,OBC,Day Scholar,0
STU1017,82.7,23.9,73.1,7.31,2,43.6,5,4,1,18851.0,0,9.3,0,1,49,Female,OBC,Day Scholar,1
STU1018,64.4,71.4,53.7,5.37,1,53.7,2,10,0,14000.0,0,22.1,0,0,0,Male,SC,Day Scholar,1
STU1019,56.8,37.7,60.6,6.06,0,82.6,5,5,0,22998.0,0,8.9,0,0,0,Male,OBC,Day Scholar,0
STU1020,100.0,61.1,96.7,9.67,0,71.8,4,3,0,23643.0,0,17.7,0,0,0,Female,General,Hostel,0
STU1021,74.6,65.0,39.2,3.92,0,97.3,7,3,1,22944.0,1,0.6,0,0,0,Male,General,Day Scholar,1
STU1022,79.0,84.5,32.4,3.24,4,73.7,3,2,0,34228.0,0,19.3,1,0,0,Male,General,Hostel,1
STU1023,56.6,36.4,74.5,7.45,2,91.9,3,6,0,39229.0,0,8.9,0,0,0,Male,OBC,Hostel,0
STU1024,69.8,5.6,51.1,5.11,2,61.1,6,3,0,60075.0,0,7.2,0,0,0,Male,General,Day Scholar,0
STU1025,79.7,63.3,56.9,5.69,1,66.3,3,2,1,10915.0,1,1.4,0,0,0,Male,OBC,Day Scholar,1
STU1026,60.7,92.4,49.5,4.95,3,75.2,5,1,0,12784.0,0,16.2,0,0,0,Female,General,Day Scholar,1
STU1027,83.6,82.3,57.8,5.78,3,72.1,3,4,0,22398.0,1,1.7,1,0,0,Female,ST,Day Scholar,0
STU1028,69.0,63.8,87.6,8.76,1,70.2,8,6,0,11300.0,1,2.6,0,0,0,Male,SC,Day Scholar,0
STU1029,73.6,51.2,74.8,7.48,2,57.6,3,5,0,12446.0,0,1.6,0,1,38,Male,ST,Hostel,0
STU1030,69.0,74.5,75.8,7.58,0,43.3,7,5,0,23984.0,0,0.1,0,1,51,Male,General,Day Scholar,0
STU1031,100.0,42.5,39.3,3.93,3,87.6,5,5,0,30962.0,0,13.0,1,0,0,Male,SC,Hostel,0
STU1032,77.8,68.6,43.6,4.36,0,85.4,6,1,1,38776.0,0,3.8,0,0,0,Female,ST,Day Scholar,0
STU1033,62.1,69.1,16.6,1.66,2,62.7,4,4,0,16066.0,0,1.9,0,0,0,Male,General,Day Scholar,0
STU1034,90.3,79.1,49.0,4.9,1,82.6,6,3,0,23811.0,0,4.6,0,1,42,Male,EWS,Day Scholar,0
STU1035,59.7,100.0,77.3,7.73,0,71.7,7,6,0,20861.0,1,8.3,0,0,0,Male,General,Day Scholar,0
STU1036,81.1,67.1,70.3,7.03,1,97.1,10,2,1,18226.0,0,8.4,1,1,41,Female,General,Hostel,0
STU1037,48.6,50.8,58.5,5.85,3,48.8,7,4,0,11052.0,0,5.5,0,0,0,Male,OBC,Day Scholar,0
STU1038,58.1,59.5,61.6,6.16,1,72.5,6,5,1,10240.0,1,8.2,0,0,0,Female,General,Day Scholar,0
STU1039,81.0,28.2,51.0,5.1,0,70.9,4,7,1,26903.0,0,6.7,0,0,0,Female,ST,Hostel,0
STU1040,89.1,47.5,65.3,6.53,3,78.2,6,3,0,10941.0,0,20.8,0,0,0,Male,General,Hostel,0
STU1041,80.6,52.6,74.3,7.43,0,100.0,2,6,0,6210.0,1,0.4,0,0,0,Male,OBC,Day Scholar,0
STU1042,76.3,50.6,36.1,3.61,0,72.5,2,3,1,17693.0,0,24.3,1,0,0,Male,OBC,Hostel,0
STU1043,73.5,62.7,66.8,6.68,2,89.9,3,4,1,43180.0,1,3.4,0,1,51,Male,SC,Hostel,0
STU1044,55.8,45.2,76.9,7.69,1,72.0,9,5,1,5000.0,0,15.4,0,0,0,Female,General,Day Scholar,0
STU1045,67.2,80.2,55.4,5.54,1,96.4,4,4,1,15169.0,0,6.2,0,0,0,Female,SC,Hostel,0
STU1046,71.1,60.0,73.2,7.32,1,90.1,7,3,0,27042.0,1,4.2,1,0,0,Male,General,Day Scholar,0
STU1047,93.9,59.8,100.0,10.0,1,68.3,8,3,1,6038.0,0,11.5,0,0,0,Male,SC,Day Scholar,0
STU1048,83.2,54.1,60.3,6.03,3,66.9,6,5,0,15867.0,0,17.6,0,0,0,Female,ST,Day Scholar,0
STU1049,51.6,62.8,68.3,6.83,1,84.7,3,7,0,9103.0,0,7.2,1,1,49,Female,General,Hostel,1
STU1050,82.9,74.9,50.2,5.02,2,61.9,6,3,0,9855.0,1,7.5,0,0,0,Female,General,Day Scholar,0
STU1051,72.2,44.4,64.9,6.49,0,78.8,3,6,0,14165.0,1,0.7,0,1,48,Male,OBC,Day Scholar,1
STU1052,67.8,48.2,69.4,6.94,2,67.9,7,3,0,9192.0,0,30.9,0,1,50,Male,General,Day Scholar,1
STU1053,87.2,54.5,65.1,6.51,1,82.4,6,7,0,8745.0,1,22.5,0,0,0,Male,General,Hostel,1
STU1054,93.5,35.8,45.7,4.57,0,71.8,2,3,0,17404.0,1,6.1,0,0,0,Male,General,Day Scholar,0
STU1055,92.0,45.3,65.3,6.53,1,61.1,1,5,1,68616.0,1,17.4,1,1,50,Female,OBC,Day Scholar,0
STU1056,65.4,51.4,85.4,8.54,2,97.1,2,13,0,28414.0,0,4.5,0,0,0,Male,General,Hostel,0
STU1057,73.4,75.7,69.2,6.92,1,79.8,5,3,1,33068.0,1,15.7,0,0,0,Female,OBC,Hostel,0
